iter	Passed	Remaining
0	221	221231
1	290	144898
2	355	118092
3	421	105034
4	488	97279
5	559	92634
6	624	88583
7	692	85903
8	761	83895
9	828	82027
10	898	80813
11	967	79679
12	1035	78583
13	1102	77627
14	1170	76891
15	1237	76133
16	1301	75283
17	1372	74851
18	1440	74395
19	1508	73926
20	1582	73782
21	1649	73342
22	1718	73003
23	1791	72866
24	1864	72706
25	1936	72541
26	2003	72208
27	2073	71977
28	2141	71711
29	2214	71588
30	2286	71471
31	2335	70638
32	2413	70710
33	2481	70495
34	2558	70553
35	2632	70480
36	2687	69946
37	2760	69885
38	2824	69591
39	2892	69411
40	2960	69248
41	3028	69079
42	3068	68291
43	3137	68161
44	3200	67926
45	3264	67705
46	3332	67574
47	3401	67471
48	3447	66914
49	3516	66813
50	3577	66570
51	3648	66520
52	3720	66480
53	3786	66327
54	3850	66159
55	3920	66087
56	3981	65870
57	4049	65770
58	4121	65736
59	4180	65498
60	4252	65465
61	4322	65399
62	4388	65267
63	4452	65120
64	4512	64916
65	4578	64797
66	4617	64293
67	4683	64186
68	4747	64061
69	4815	63981
70	4877	63816
71	4939	63661
72	5005	63557
73	5065	63391
74	5130	63270
75	5197	63186
76	5225	62633
77	5272	62324
78	5336	62208
79	5407	62191
80	5478	62158
81	5543	62065
82	5576	61615
83	5641	61524
84	5710	61467
85	5779	61425
86	5838	61267
87	5905	61206
88	5975	61166
89	6042	61095
90	6077	60710
91	6100	60211
92	6161	60091
93	6224	59992
94	6294	59963
95	6359	59887
96	6426	59824
97	6487	59712
98	6510	59248
99	6578	59207
100	6642	59126
101	6689	58894
102	6750	58789
103	6815	58718
104	6881	58657
105	6947	58592
106	7018	58572
107	7089	58557
108	7157	58509
109	7222	58439
110	7288	58371
111	7353	58304
112	7418	58229
113	7461	57986
114	7526	57918
115	7594	57871
116	7649	57730
117	7713	57658
118	7777	57577
119	7846	57537
120	7919	57529
121	7993	57528
122	8061	57475
123	8126	57406
124	8184	57292
125	8256	57271
126	8331	57271
127	8395	57192
128	8459	57118
129	8527	57066
130	8595	57021
131	8661	56955
132	8727	56893
133	8793	56828
134	8856	56748
135	8928	56722
136	8988	56618
137	9059	56586
138	9124	56517
139	9184	56421
140	9253	56371
141	9320	56315
142	9385	56246
143	9447	56160
144	9517	56122
145	9586	56072
146	9642	55953
147	9713	55917
148	9783	55875
149	9843	55780
150	9908	55711
151	9976	55656
152	10045	55611
153	10114	55566
154	10183	55514
155	10249	55454
156	10315	55388
157	10380	55319
158	10445	55249
159	10510	55178
160	10572	55094
161	10632	55002
162	10697	54930
163	10769	54898
164	10838	54849
165	10907	54798
166	10973	54737
167	11035	54654
168	11091	54540
169	11156	54470
170	11226	54423
171	11294	54369
172	11359	54301
173	11426	54243
174	11491	54176
175	11552	54088
176	11620	54029
177	11682	53948
178	11749	53890
179	11812	53812
180	11877	53742
181	11945	53689
182	12012	53628
183	12075	53554
184	12143	53495
185	12212	53444
186	12284	53409
187	12351	53349
188	12417	53283
189	12479	53201
190	12539	53113
191	12606	53050
192	12675	53001
193	12743	52946
194	12806	52869
195	12874	52809
196	12937	52736
197	13004	52673
198	13068	52604
199	13133	52535
200	13202	52482
201	13262	52392
202	13331	52342
203	13397	52275
204	13464	52214
205	13528	52145
206	13591	52066
207	13650	51976
208	13717	51917
209	13785	51859
210	13851	51794
211	13907	51694
212	13970	51618
213	14037	51557
214	14100	51484
215	14160	51398
216	14228	51340
217	14296	51284
218	14364	51228
219	14432	51168
220	14502	51120
221	14570	51060
222	14636	50996
223	14703	50938
224	14766	50863
225	14835	50806
226	14895	50722
227	14950	50621
228	15016	50557
229	15093	50528
230	15162	50475
231	15218	50379
232	15286	50320
233	15352	50256
234	15419	50196
235	15478	50108
236	15539	50028
237	15605	49963
238	15661	49868
239	15730	49813
240	15784	49710
241	15847	49638
242	15917	49587
243	15988	49538
244	16057	49483
245	16119	49406
246	16187	49348
247	16252	49282
248	16319	49220
249	16387	49163
250	16454	49100
251	16516	49024
252	16576	48942
253	16630	48845
254	16690	48762
255	16757	48700
256	16824	48641
257	16891	48580
258	16962	48528
259	17030	48471
260	17096	48406
261	17162	48344
262	17225	48269
263	17291	48206
264	17355	48137
265	17419	48066
266	17484	47999
267	17552	47941
268	17624	47893
269	17673	47785
270	17739	47718
271	17804	47653
272	17871	47590
273	17939	47532
274	18005	47469
275	18071	47403
276	18139	47347
277	18208	47288
278	18276	47229
279	18343	47167
280	18410	47108
281	18480	47052
282	18546	46987
283	18612	46924
284	18679	46863
285	18749	46807
286	18816	46746
287	18882	46682
288	18951	46623
289	19018	46562
290	19086	46502
291	19147	46425
292	19210	46355
293	19278	46295
294	19348	46239
295	19419	46186
296	19482	46116
297	19546	46045
298	19613	45983
299	19683	45927
300	19749	45863
301	19817	45802
302	19883	45738
303	19951	45679
304	20021	45623
305	20088	45560
306	20154	45496
307	20223	45438
308	20290	45374
309	20357	45311
310	20421	45242
311	20486	45176
312	20555	45117
313	20624	45059
314	20691	44995
315	20757	44931
316	20821	44861
317	20886	44794
318	20949	44723
319	21018	44663
320	21084	44599
321	21151	44536
322	21216	44470
323	21276	44390
324	21337	44315
325	21405	44254
326	21473	44194
327	21542	44136
328	21607	44068
329	21675	44007
330	21742	43944
331	21808	43880
332	21877	43821
333	21948	43765
334	22008	43689
335	22079	43632
336	22147	43572
337	22213	43506
338	22281	43445
339	22345	43375
340	22414	43316
341	22478	43247
342	22546	43186
343	22604	43106
344	22674	43047
345	22740	42983
346	22805	42916
347	22870	42849
348	22938	42787
349	23008	42729
350	23074	42663
351	23141	42601
352	23208	42538
353	23271	42466
354	23340	42407
355	23412	42352
356	23480	42290
357	23547	42227
358	23615	42166
359	23677	42093
360	23737	42016
361	23806	41956
362	23870	41888
363	23941	41831
364	24009	41769
365	24076	41706
366	24143	41642
367	24213	41583
368	24272	41505
369	24331	41429
370	24399	41367
371	24465	41301
372	24528	41231
373	24594	41165
374	24657	41095
375	24723	41030
376	24791	40968
377	24855	40899
378	24924	40840
379	24992	40777
380	25056	40707
381	25116	40633
382	25178	40561
383	25247	40501
384	25311	40432
385	25378	40368
386	25447	40307
387	25516	40247
388	25585	40187
389	25649	40117
390	25714	40051
391	25783	39991
392	25847	39921
393	25914	39858
394	25980	39792
395	26046	39727
396	26114	39665
397	26174	39590
398	26243	39529
399	26312	39468
400	26379	39405
401	26447	39343
402	26515	39279
403	26580	39212
404	26646	39147
405	26710	39078
406	26771	39006
407	26837	38940
408	26901	38871
409	26962	38799
410	27028	38734
411	27098	38674
412	27164	38608
413	27223	38533
414	27288	38467
415	27356	38403
416	27422	38338
417	27486	38270
418	27550	38202
419	27624	38148
420	27692	38084
421	27755	38015
422	27823	37952
423	27891	37890
424	27961	37830
425	28027	37764
426	28093	37699
427	28154	37627
428	28216	37556
429	28276	37482
430	28344	37419
431	28408	37352
432	28476	37288
433	28537	37217
434	28608	37157
435	28677	37097
436	28748	37037
437	28817	36975
438	28882	36909
439	28947	36842
440	29014	36777
441	29078	36710
442	29145	36645
443	29211	36580
444	29280	36518
445	29350	36457
446	29420	36396
447	29491	36337
448	29554	36267
449	29618	36199
450	29685	36136
451	29753	36072
452	29819	36007
453	29900	35959
454	29975	35904
455	30042	35839
456	30110	35777
457	30181	35716
458	30249	35653
459	30314	35586
460	30377	35517
461	30442	35450
462	30508	35384
463	30573	35317
464	30648	35262
465	30705	35186
466	30773	35122
467	30842	35060
468	30910	34996
469	30975	34930
470	31043	34865
471	31107	34798
472	31169	34728
473	31237	34664
474	31304	34600
475	31369	34533
476	31436	34468
477	31503	34403
478	31571	34339
479	31637	34273
480	31705	34210
481	31770	34143
482	31835	34076
483	31899	34008
484	31966	33943
485	32032	33878
486	32099	33813
487	32162	33744
488	32228	33678
489	32300	33618
490	32370	33557
491	32435	33489
492	32505	33428
493	32573	33365
494	32637	33297
495	32707	33235
496	32774	33169
497	32842	33106
498	32910	33042
499	32979	32979
500	33047	32915
501	33111	32847
502	33179	32783
503	33239	32711
504	33307	32647
505	33370	32579
506	33438	32514
507	33502	32447
508	33571	32384
509	33638	32319
510	33710	32259
511	33777	32194
512	33849	32133
513	33915	32068
514	33984	32004
515	34059	31947
516	34130	31886
517	34197	31820
518	34268	31759
519	34338	31697
520	34406	31632
521	34472	31566
522	34538	31500
523	34605	31435
524	34674	31372
525	34741	31307
526	34809	31242
527	34876	31177
528	34940	31109
529	35007	31044
530	35061	30968
531	35130	30904
532	35196	30837
533	35265	30775
534	35330	30707
535	35398	30643
536	35468	30580
537	35537	30517
538	35604	30452
539	35671	30386
540	35738	30321
541	35807	30257
542	35874	30192
543	35937	30124
544	36006	30060
545	36073	29995
546	36142	29931
547	36213	29869
548	36280	29804
549	36344	29736
550	36419	29677
551	36489	29615
552	36561	29553
553	36626	29486
554	36695	29422
555	36762	29356
556	36835	29296
557	36904	29232
558	36971	29166
559	37038	29101
560	37104	29035
561	37167	28966
562	37227	28895
563	37288	28825
564	37356	28760
565	37423	28696
566	37494	28633
567	37559	28566
568	37629	28503
569	37698	28439
570	37765	28373
571	37828	28304
572	37902	28245
573	37975	28183
574	38035	28113
575	38105	28049
576	38169	27982
577	38231	27912
578	38301	27849
579	38365	27782
580	38430	27714
581	38494	27647
582	38564	27583
583	38633	27519
584	38701	27455
585	38766	27388
586	38827	27318
587	38895	27253
588	38962	27187
589	39018	27114
590	39090	27052
591	39158	26987
592	39228	26924
593	39294	26857
594	39360	26791
595	39426	26725
596	39494	26660
597	39559	26593
598	39627	26528
599	39695	26463
600	39755	26393
601	39823	26328
602	39891	26263
603	39951	26193
604	40017	26127
605	40088	26063
606	40156	25998
607	40225	25934
608	40292	25869
609	40353	25799
610	40421	25734
611	40488	25669
612	40555	25603
613	40624	25539
614	40689	25472
615	40758	25407
616	40824	25341
617	40890	25275
618	40961	25212
619	41032	25148
620	41097	25082
621	41163	25015
622	41228	24949
623	41287	24878
624	41359	24815
625	41425	24749
626	41492	24683
627	41553	24614
628	41624	24551
629	41696	24488
630	41765	24423
631	41834	24359
632	41905	24295
633	41974	24231
634	42041	24165
635	42105	24098
636	42175	24033
637	42239	23966
638	42307	23901
639	42380	23838
640	42447	23773
641	42513	23707
642	42579	23640
643	42651	23577
644	42720	23512
645	42787	23447
646	42856	23382
647	42917	23313
648	42974	23242
649	43039	23175
650	43104	23107
651	43172	23043
652	43233	22974
653	43302	22909
654	43369	22843
655	43436	22777
656	43501	22711
657	43570	22645
658	43636	22579
659	43702	22513
660	43768	22446
661	43835	22381
662	43905	22316
663	43972	22251
664	44038	22184
665	44105	22118
666	44173	22053
667	44242	21988
668	44313	21925
669	44375	21856
670	44444	21791
671	44513	21726
672	44582	21662
673	44643	21592
674	44712	21528
675	44781	21463
676	44844	21395
677	44897	21323
678	44964	21257
679	45043	21196
680	45112	21131
681	45175	21064
682	45248	21001
683	45315	20935
684	45381	20868
685	45451	20804
686	45519	20738
687	45586	20672
688	45655	20607
689	45725	20543
690	45792	20477
691	45858	20411
692	45927	20346
693	45996	20280
694	46065	20215
695	46135	20150
696	46201	20084
697	46268	20018
698	46339	19954
699	46407	19888
700	46475	19823
701	46543	19757
702	46612	19692
703	46684	19628
704	46751	19562
705	46818	19496
706	46887	19431
707	46956	19366
708	47026	19301
709	47090	19234
710	47158	19168
711	47229	19104
712	47301	19040
713	47367	18973
714	47433	18906
715	47501	18841
716	47571	18776
717	47628	18706
718	47694	18640
719	47758	18572
720	47830	18508
721	47902	18444
722	47969	18378
723	48040	18313
724	48107	18247
725	48168	18179
726	48235	18113
727	48305	18048
728	48371	17981
729	48437	17915
730	48503	17848
731	48571	17783
732	48633	17714
733	48703	17650
734	48772	17584
735	48837	17517
736	48902	17450
737	48969	17384
738	49035	17318
739	49104	17252
740	49171	17186
741	49240	17121
742	49308	17055
743	49379	16990
744	49450	16925
745	49552	16871
746	49620	16806
747	49693	16741
748	49765	16677
749	49841	16613
750	49921	16551
751	50014	16494
752	50078	16426
753	50166	16367
754	50241	16303
755	50308	16236
756	50382	16172
757	50458	16109
758	50533	16045
759	50608	15981
760	50671	15914
761	50734	15846
762	50799	15779
763	50861	15711
764	50930	15645
765	50987	15575
766	51058	15510
767	51131	15445
768	51195	15378
769	51268	15313
770	51339	15248
771	51404	15181
772	51474	15116
773	51544	15050
774	51605	14982
775	51678	14917
776	51749	14852
777	51818	14786
778	51883	14719
779	51954	14653
780	52026	14588
781	52094	14522
782	52169	14458
783	52237	14391
784	52309	14326
785	52382	14261
786	52452	14196
787	52518	14129
788	52588	14063
789	52655	13997
790	52724	13930
791	52791	13864
792	52860	13798
793	52930	13732
794	53000	13666
795	53068	13600
796	53136	13534
797	53202	13467
798	53273	13401
799	53343	13335
800	53411	13269
801	53477	13202
802	53546	13136
803	53618	13071
804	53689	13005
805	53754	12938
806	53823	12872
807	53891	12805
808	53960	12739
809	54029	12673
810	54101	12608
811	54170	12541
812	54238	12475
813	54306	12409
814	54373	12342
815	54441	12276
816	54508	12209
817	54576	12142
818	54647	12077
819	54719	12011
820	54786	11945
821	54850	11877
822	54911	11809
823	54978	11743
824	55047	11676
825	55110	11609
826	55180	11543
827	55248	11476
828	55312	11409
829	55383	11343
830	55451	11277
831	55519	11210
832	55584	11143
833	55656	11077
834	55724	11011
835	55788	10944
836	55853	10877
837	55915	10809
838	55983	10743
839	56050	10676
840	56107	10607
841	56172	10540
842	56239	10474
843	56307	10407
844	56374	10340
845	56442	10274
846	56511	10208
847	56572	10140
848	56638	10073
849	56707	10007
850	56773	9940
851	56839	9873
852	56911	9807
853	56979	9741
854	57046	9674
855	57116	9608
856	57180	9541
857	57248	9474
858	57316	9408
859	57381	9341
860	57451	9274
861	57518	9208
862	57587	9141
863	57656	9075
864	57727	9009
865	57795	8943
866	57862	8876
867	57937	8810
868	58006	8744
869	58074	8677
870	58142	8611
871	58209	8544
872	58280	8478
873	58346	8411
874	58419	8345
875	58491	8279
876	58562	8213
877	58630	8146
878	58696	8079
879	58763	8013
880	58830	7946
881	58900	7880
882	58967	7813
883	59035	7746
884	59107	7680
885	59178	7614
886	59246	7547
887	59312	7480
888	59382	7414
889	59452	7348
890	59521	7281
891	59592	7215
892	59658	7148
893	59727	7081
894	59795	7015
895	59864	6948
896	59935	6882
897	60005	6815
898	60075	6749
899	60141	6682
900	60214	6616
901	60280	6549
902	60361	6484
903	60427	6417
904	60491	6349
905	60562	6283
906	60627	6216
907	60693	6149
908	60761	6082
909	60827	6015
910	60891	5948
911	60976	5883
912	61057	5818
913	61125	5751
914	61196	5684
915	61268	5618
916	61349	5552
917	61426	5486
918	61496	5420
919	61562	5353
920	61624	5285
921	61699	5219
922	61779	5153
923	61853	5087
924	61917	5020
925	61986	4953
926	62045	4885
927	62109	4818
928	62164	4750
929	62233	4684
930	62309	4618
931	62390	4552
932	62460	4485
933	62528	4418
934	62601	4351
935	62666	4284
936	62732	4217
937	62795	4150
938	62860	4083
939	62933	4017
940	63016	3951
941	63096	3884
942	63162	3817
943	63230	3750
944	63297	3684
945	63365	3617
946	63438	3550
947	63506	3483
948	63571	3416
949	63638	3349
950	63706	3282
951	63786	3216
952	63871	3150
953	63945	3083
954	64009	3016
955	64073	2948
956	64145	2882
957	64210	2815
958	64277	2748
959	64345	2681
960	64411	2613
961	64480	2547
962	64542	2479
963	64614	2412
964	64681	2345
965	64759	2279
966	64847	2212
967	64924	2146
968	64993	2079
969	65061	2012
970	65140	1945
971	65226	1878
972	65294	1811
973	65362	1744
974	65432	1677
975	65495	1610
976	65566	1543
977	65644	1476
978	65730	1409
979	65795	1342
980	65864	1275
981	65929	1208
982	65996	1141
983	66063	1074
984	66140	1007
985	66210	940
986	66276	872
987	66344	805
988	66411	738
989	66480	671
990	66550	604
991	66617	537
992	66687	470
993	66756	402
994	66816	335
995	66888	268
996	66960	201
997	67029	134
998	67099	67
999	67167	0
